"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/04/2022";"0000";"11,8";"12,5";"11,8";"82,0";"83,0";"82,0";"8,8";"9,6";"8,8";"919,8";"919,8";"919,3";"5,1";"138,0";"7,3";"";"0,0"
"01/04/2022";"0100";"11,4";"11,8";"11,3";"80,0";"82,0";"80,0";"8,1";"8,8";"8,1";"920,1";"920,1";"919,8";"7,0";"132,0";"10,4";"";"0,0"
"01/04/2022";"0200";"10,6";"11,4";"10,6";"79,0";"80,0";"79,0";"7,2";"8,1";"7,2";"920,2";"920,3";"920,1";"6,5";"132,0";"10,4";"";"0,0"
"01/04/2022";"0300";"9,9";"10,7";"9,9";"79,0";"79,0";"79,0";"6,4";"7,2";"6,4";"920,0";"920,2";"920,0";"5,9";"133,0";"9,8";"";"0,0"
"01/04/2022";"0400";"9,0";"9,9";"9,0";"78,0";"79,0";"78,0";"5,4";"6,4";"5,4";"919,6";"920,0";"919,6";"4,9";"133,0";"8,1";"";"0,0"
"01/04/2022";"0500";"8,9";"9,0";"8,7";"77,0";"78,0";"77,0";"5,1";"5,4";"5,0";"919,2";"919,6";"919,1";"4,7";"124,0";"7,9";"";"0,0"
"01/04/2022";"0600";"9,1";"9,3";"8,7";"77,0";"77,0";"77,0";"5,4";"5,6";"5,0";"918,4";"919,3";"918,4";"3,2";"117,0";"7,3";"";"0,0"
"01/04/2022";"0700";"10,2";"10,3";"9,0";"78,0";"78,0";"77,0";"6,5";"6,5";"5,3";"918,4";"918,4";"918,2";"1,0";"96,0";"5,3";"";"0,0"
"01/04/2022";"0800";"9,4";"10,2";"9,0";"78,0";"78,0";"78,0";"5,7";"6,5";"5,3";"919,2";"919,2";"918,3";"0,4";"183,0";"4,3";"";"0,0"
"01/04/2022";"0900";"9,2";"10,0";"9,2";"78,0";"78,0";"78,0";"5,7";"6,4";"5,6";"919,9";"919,9";"919,2";"1,9";"181,0";"2,8";"";"0,0"
"01/04/2022";"1000";"9,4";"9,4";"8,2";"79,0";"79,0";"78,0";"5,9";"5,9";"4,7";"920,8";"920,8";"919,9";"2,1";"150,0";"3,7";"211,40";"0,0"
"01/04/2022";"1100";"10,8";"10,9";"9,4";"79,0";"79,0";"79,0";"7,4";"7,4";"5,9";"921,7";"921,7";"920,8";"1,9";"136,0";"3,1";"998,50";"0,0"
"01/04/2022";"1200";"12,1";"12,3";"10,7";"80,0";"80,0";"79,0";"8,8";"8,9";"7,4";"922,0";"922,0";"921,7";"3,1";"128,0";"4,1";"1479,10";"0,0"
"01/04/2022";"1300";"14,8";"14,8";"12,1";"81,0";"81,0";"80,0";"11,5";"11,5";"8,8";"922,0";"922,1";"921,9";"3,6";"134,0";"5,3";"1918,80";"0,0"
"01/04/2022";"1400";"17,2";"17,2";"14,8";"81,0";"81,0";"81,0";"13,9";"13,9";"11,5";"921,9";"922,0";"921,9";"0,7";"114,0";"5,1";"3107,40";"0,0"
"01/04/2022";"1500";"18,4";"18,4";"17,2";"80,0";"81,0";"80,0";"14,9";"15,0";"13,9";"921,2";"921,9";"921,2";"2,9";"167,0";"4,6";"3102,80";"0,0"
"01/04/2022";"1600";"19,4";"19,4";"18,4";"79,0";"80,0";"79,0";"15,6";"15,6";"14,9";"920,5";"921,2";"920,5";"3,4";"165,0";"5,7";"3362,60";"0,0"
"01/04/2022";"1700";"19,4";"19,8";"19,0";"77,0";"79,0";"77,0";"15,3";"15,8";"15,0";"920,1";"920,5";"920,1";"2,6";"173,0";"5,6";"2609,70";"0,0"
"01/04/2022";"1800";"19,5";"19,9";"19,0";"76,0";"77,0";"76,0";"15,1";"15,6";"14,9";"919,6";"920,1";"919,6";"2,6";"175,0";"5,0";"2030,30";"0,0"
"01/04/2022";"1900";"18,6";"19,5";"18,5";"75,0";"76,0";"75,0";"14,1";"15,1";"14,1";"919,8";"919,8";"919,6";"2,9";"175,0";"4,9";"779,60";"0,0"
"01/04/2022";"2000";"18,0";"18,8";"18,0";"75,0";"75,0";"75,0";"13,5";"14,3";"13,5";"920,0";"920,0";"919,8";"2,1";"151,0";"5,2";"614,00";"0,0"
"01/04/2022";"2100";"16,9";"18,0";"16,9";"75,0";"75,0";"75,0";"12,4";"13,5";"12,4";"920,2";"920,2";"920,0";"2,0";"158,0";"4,3";"91,00";"0,0"
"01/04/2022";"2200";"17,0";"17,0";"16,9";"75,0";"75,0";"75,0";"12,6";"12,6";"12,5";"920,6";"920,6";"920,2";"1,2";"46,0";"3,3";"";"0,0"
"01/04/2022";"2300";"15,6";"17,0";"15,6";"76,0";"76,0";"75,0";"11,4";"12,6";"11,4";"921,1";"921,1";"920,6";"3,0";"79,0";"6,5";"";"0,0"
"02/04/2022";"0000";"14,8";"15,6";"14,8";"76,0";"76,0";"76,0";"10,7";"11,4";"10,7";"921,3";"921,3";"921,1";"3,4";"108,0";"6,8";"";"0,0"
"02/04/2022";"0100";"14,3";"14,8";"14,3";"77,0";"77,0";"76,0";"10,4";"10,7";"10,4";"921,1";"921,4";"921,1";"3,3";"104,0";"7,8";"";"0,0"
"02/04/2022";"0200";"14,1";"14,4";"14,1";"78,0";"78,0";"77,0";"10,3";"10,4";"10,3";"920,9";"921,1";"920,9";"3,3";"115,0";"7,7";"";"0,0"
"02/04/2022";"0300";"13,8";"14,1";"13,8";"79,0";"79,0";"78,0";"10,2";"10,3";"10,2";"920,9";"920,9";"920,9";"3,0";"117,0";"7,3";"";"0,0"
"02/04/2022";"0400";"13,4";"13,8";"13,4";"79,0";"79,0";"79,0";"9,9";"10,2";"9,9";"920,4";"920,9";"920,4";"1,9";"102,0";"5,6";"";"0,0"
"02/04/2022";"0500";"13,2";"13,5";"13,1";"80,0";"80,0";"79,0";"9,9";"10,0";"9,8";"919,9";"920,4";"919,9";"2,3";"113,0";"5,1";"";"0,0"
